N,F0,PER,d0,v0,collision,attack
10,-4,0.26,4.214,30,1,0
6,-1,0.7,7.73,64,1,1
10,-2,0.33,6.995,25,0,0
6,-5,0.95,6.321,68,1,1
10,0,0.4,10.886,83,1,1
4,-5,0.96,7.589,68,1,1
5,-2,0.33,5.492,52,0,0
4,-8,0.75,5.432,20,0,0
10,-5,0.62,8.089001,30,1,1
10,-1,0.28,4.388,45,1,0
3,-8,0.65,5.526,63,0,0
9,-4,0.6,8.934,56,0,1
4,-3,0.75,4.42,16,0,0
7,0,0.88,6.338,79,1,1
10,-4,0.47,9.771,74,1,1
7,0,0.93,10.56,32,1,1
4,-8,0.05,4.606,54,0,0
10,-4,0.5,6.087,27,1,0
8,-6,0.7,8.476,12,0,0
10,-4,0.0,7.689,39,0,0
7,-6,0.08,7.425,55,0,0
9,-4,0.23,8.309999,23,1,1
7,-3,0.82,6.99,74,1,1
3,0,0.25,8.694,44,0,1
10,-1,0.01,7.351,54,1,1
4,-3,0.24,4.18,23,0,0
9,-5,0.92,5.153,14,1,0
4,-1,0.37,4.255,82,0,0
9,-5,0.81,10.422,49,1,1
5,-5,0.93,5.899,44,1,0
3,-3,0.94,9.752,88,1,1
9,-3,0.67,8.232,42,1,1
10,-1,0.4,6.344,77,1,1
4,-8,0.14,8.518,54,0,0
6,-5,0.64,9.025,38,1,1
9,-3,0.08,6.645,73,0,1
5,-7,0.43,8.843,33,0,0
4,-4,0.21,8.559,49,0,0
6,0,0.83,7.63,20,1,1
5,-2,0.69,5.961,81,0,0
10,-4,0.11,6.847,64,1,1
3,0,0.95,9.665,45,1,1
3,-2,0.02,7.827,13,0,1
7,-5,0.97,9.212999,29,1,1
8,-5,0.85,7.037,10,1,1
7,-7,0.33,4.912,44,0,0
3,-7,0.05,8.593,51,0,0
9,0,0.75,8.043,61,1,1
10,-8,0.11,8.437,35,1,0
8,-5,0.86,6.09,27,1,0
4,-5,0.96,6.263,69,1,1
6,-5,0.19,6.218,82,0,1
5,-5,0.66,5.862,71,0,0
10,-2,0.12,4.983,19,1,0
7,-6,0.94,7.874,67,1,1
9,-4,0.84,4.525,28,1,0
3,-1,0.44,7.064,30,0,0
5,1,0.96,6.484,88,1,1
5,-2,0.74,7.029,61,1,1
4,-2,0.88,10.356,30,0,1
8,-6,0.58,6.171,86,1,0
8,-3,0.55,7.751,67,0,0
8,-3,0.75,10.178,33,1,1
3,-3,0.09,5.639,36,0,1
7,-8,0.35,5.779,33,0,0
10,-2,0.83,8.027,74,1,1
7,-3,0.96,6.142,41,1,1
10,-2,0.18,10.903,50,1,1
8,-7,0.61,6.987,85,1,0
8,-3,0.35,8.893,77,0,1
6,-8,0.27,5.556,34,0,0
9,-5,0.3,9.919001,78,1,1
4,-8,0.66,6.299,57,1,0
7,-6,0.61,8.357,74,1,1
4,-2,0.74,6.998,74,1,0
8,0,0.87,9.523,40,1,1
4,-6,0.24,5.793,34,0,0
10,-3,0.09,4.581,88,1,0
10,-5,0.8,10.695,61,1,1
8,-4,0.77,9.676001,28,1,1
7,-2,0.71,6.978,64,1,0
5,-4,0.57,8.14,45,0,0
9,-4,0.89,9.443,36,1,1
7,-4,0.83,7.545,80,1,1
9,-6,0.74,9.9470005,23,1,1
8,-5,0.11,7.402,24,0,0
6,-3,0.68,6.28,56,0,0
6,-3,0.48,5.131,48,0,0
4,-3,0.98,10.936,29,1,1
9,1,0.5,6.654,18,1,1
7,1,0.84,8.235001,59,1,1
7,-8,0.56,7.436,72,0,0
5,-5,0.79,6.079,68,1,1
4,0,0.93,7.635,15,1,1
4,-8,0.3,5.99,17,0,0
10,-8,0.66,8.319,11,1,0
9,-4,0.08,6.535,69,0,1
3,-7,0.78,5.122,61,0,0
6,-4,0.76,9.855,67,1,1
6,-6,0.98,9.656,23,1,1
3,-4,0.21,7.73,43,0,1
10,-1,0.1,6.259,30,1,1
5,-2,0.78,4.089,22,1,0
10,-1,0.72,7.797,58,1,1
6,-4,0.69,6.403,27,1,1
8,-7,0.67,7.27,78,1,0
10,-5,0.66,6.841,51,1,1
8,-2,0.75,9.21,18,0,1
5,-7,0.85,4.378,63,1,0
9,-4,0.59,7.992,48,1,1
10,-3,0.12,9.857,65,1,1
9,-2,0.81,6.955,67,1,1
9,-5,0.7,6.857,31,1,1
4,-1,0.88,9.972,82,1,1
9,-5,0.3,9.514999,76,0,1
8,-1,0.92,8.364,45,1,1
9,0,0.99,9.402,61,1,1
9,-4,0.62,8.26,40,1,0
5,-5,0.66,10.987,57,0,1
9,-6,0.04,5.209,52,1,0
5,0,0.72,9.615,87,1,1
9,0,0.33,8.768,65,1,1
10,-5,0.35,9.955,53,1,1
7,-5,0.88,10.882,16,1,1
10,-1,0.91,9.336,59,1,1
3,0,0.91,6.459,65,1,1
8,-1,0.57,7.039,78,0,1
9,-8,0.08,6.999,71,1,0
8,-3,0.96,8.529,80,1,0
10,-1,0.23,10.359,32,0,1
9,-2,0.27,5.566,72,0,0
6,-4,0.18,7.179,85,0,0
5,-4,0.81,9.441999,45,1,1
10,-5,0.6,7.3,11,1,1
9,-4,1.0,6.41,65,1,0
9,-4,0.96,9.429,76,1,1
8,-1,0.5,10.047,72,0,1
9,-6,0.73,9.239,53,1,1
8,-5,0.59,10.868,53,0,1
9,-6,0.55,7.863,32,1,1
5,-1,0.89,7.348,75,1,1
10,1,0.27,8.452,81,1,1
6,-6,0.64,9.832,42,0,1
6,-7,0.33,5.735,22,0,0
9,-4,0.8,4.368,59,1,0
7,-2,0.67,10.125,55,1,1
6,-3,0.98,6.698,67,1,1
4,-5,0.21,4.097,17,0,0
9,-1,0.86,10.18,81,1,1
9,-3,0.36,8.761,58,0,1
9,-3,0.91,4.792,80,1,0
9,-2,0.05,8.03,89,0,0
7,-3,0.47,6.5,74,1,1
8,-8,0.32,6.767,81,0,0
5,1,0.94,6.838,41,1,1
4,-5,0.49,8.836,42,0,0
8,-6,0.78,6.799,22,1,0
9,-6,0.87,8.3220005,67,1,1
9,-1,0.5,10.562,44,0,1
7,-3,0.07,9.285999,26,0,1
5,-2,0.4,8.514,66,0,1
9,-4,0.72,6.921,80,1,1
8,-4,0.78,6.248,47,1,0
10,-3,0.92,9.355,15,1,1
5,-2,0.87,7.693,19,1,0
8,-6,0.88,5.242,35,1,0
6,-4,0.3,4.919,19,0,0
10,-6,0.79,6.858,34,1,1
3,-1,0.93,6.366,71,1,1
6,-8,0.78,5.121,23,1,0
9,-2,0.03,9.865,85,0,1
5,-4,0.78,7.109,53,1,1
9,0,0.13,9.723,54,0,1
4,-8,0.24,7.184,51,0,0
7,-3,0.18,10.184,26,0,1
3,-5,0.96,6.93,33,1,1
7,-5,0.44,4.622,65,1,0
9,-1,0.53,10.794,68,1,1
6,-8,0.41,7.631,55,0,0
9,-2,0.78,9.504,83,1,1
3,-2,0.02,7.675,68,0,0
10,-2,0.62,8.7560005,81,1,1
7,-7,0.98,6.62,26,1,0
7,-1,0.97,6.384,21,1,0
9,-1,0.48,7.198,36,1,1
10,-6,0.75,10.218,11,1,1
4,-5,0.7,7.117,69,1,1
7,-2,0.87,8.506,59,1,0
9,1,0.16,7.717,65,1,1
9,-6,0.08,10.99,58,0,1
10,1,0.65,6.973,77,1,1
4,-2,0.42,4.747,24,0,0
9,-6,0.83,7.908,75,1,1
5,-1,0.55,7.282,44,0,0
9,0,0.28,9.283,86,1,1
9,-1,0.04,6.864,18,0,1
10,-1,0.48,8.183001,63,1,1
8,-8,0.76,8.803,22,0,0
9,-6,0.88,7.987,84,1,1
9,-3,0.91,7.523,75,1,1
4,-4,0.94,8.735001,62,1,1
10,-8,0.86,5.178,78,1,0
9,-2,0.58,8.2439995,84,1,1
4,-8,0.04,8.853,66,0,0
4,0,0.96,8.635,49,1,1
3,0,0.86,7.191,68,1,1
3,-8,0.25,5.075,44,0,0
4,-1,0.09,8.142,54,0,1
4,-6,0.14,7.715,52,0,0
10,-2,0.22,10.519,62,0,1
6,-5,0.61,8.843,77,1,0
4,-6,0.59,6.454,82,0,0
10,-1,0.84,4.247,31,1,0
5,-1,0.85,10.727,26,1,1
8,-6,0.69,6.492,54,1,1
10,-2,0.26,7.315,23,0,1
10,-3,0.76,6.599,81,1,1
5,-1,0.81,6.8,83,1,1
5,-5,0.46,8.929,10,0,0
8,-7,0.93,5.106,48,1,0
9,-4,0.61,8.913,73,1,1
5,-4,0.76,5.174,62,1,0
6,-6,0.92,9.938,86,1,1
7,-3,0.91,10.461,47,1,1
4,-3,0.9,7.252,67,1,1
8,-1,0.77,6.354,35,1,1
4,-6,0.93,7.661,54,1,1
5,-7,0.42,5.193,67,0,0
10,-4,0.33,6.722,82,1,1
4,-2,0.03,4.974,40,0,1
4,-5,0.83,7.86,52,1,0
4,-3,0.15,7.163,26,0,1
9,-4,0.65,9.268,54,1,1
3,0,0.07,7.826,45,0,1
5,-8,0.8,7.32,60,1,0
8,0,0.96,10.096,60,1,1
7,0,0.96,6.661,38,1,1
9,-3,0.48,7.154,59,1,1
9,-8,0.65,6.792,13,1,0
7,-1,0.74,4.017,47,0,0
9,0,0.46,10.374,43,1,1
9,-3,0.52,9.476,61,1,1
8,-2,0.85,8.135,21,1,0
6,-4,0.96,8.487,37,1,0
5,-1,0.94,6.593,73,1,0
5,-6,0.13,5.222,90,0,1
8,-6,0.81,4.326,76,1,0
4,-5,0.15,5.489,79,0,0
8,-4,0.15,4.207,83,0,0
9,-1,0.47,7.759,34,1,0
10,-3,0.24,7.111,42,1,1
8,0,0.92,6.95,70,1,1
5,-5,0.48,4.667,80,0,0
7,-5,0.05,8.403999,18,0,1
5,-1,0.94,10.766,13,1,1
7,-4,0.78,6.457,49,1,1
5,-5,0.21,8.692,89,0,0
8,-2,0.16,6.02,12,0,0
9,-5,0.2,5.908,47,1,0
8,-4,0.8,8.782,29,1,0
10,-4,0.17,6.906,25,1,1
8,-4,0.16,7.482,18,0,0
10,-6,0.69,7.503,56,1,1
4,-4,0.99,10.009,28,1,1
3,-2,0.11,4.312,46,0,1
9,0,0.87,9.625,14,1,1
3,-6,0.63,7.003,63,0,0
3,-8,0.21,6.686,60,0,0
5,-2,0.45,7.486,27,0,0
