N,F0,PER,d0,v0,collision,attack
8,-7,0.46,7.703,23,0,0
8,-3,0.71,4.651,79,1,0
7,-7,0.7,5.594,16,0,0
4,-5,0.99343586,7.0090322,52,0,1
4,-4,0.8608618,5.903023,58,0,1
4,-5,0.8577318,5.9005623,58,1,1
8,-3,0.83531857,6.7458134,27,0,1
4,-8,0.31,8.375,62,0,0
7,-5,0.19,4.033,37,0,0
8,-7,0.93899536,7.404456,24,0,1
5,-8,0.39,8.167,45,0,0
10,-4,0.73,8.432,69,1,1
9,-3,0.12,8.95,43,0,0
6,-3,0.29,4.41,23,0,1
4,-4,0.24,7.792,23,0,1
10,-4,0.5,6.087,27,1,0
7,-4,0.88,7.009,79,1,0
10,-5,0.74,6.719,39,1,1
4,-6,0.88,5.538,88,1,0
5,-3,0.5602455,7.0090923,59,1,1
5,-7,0.8448353,5.149023,26,0,1
4,-7,0.13,7.853,88,0,0
6,-3,0.3,7.716,73,0,1
5,-5,0.76,7.84,67,1,0
7,-8,0.92921543,8.539928,11,0,1
8,-8,0.13962746,6.009653,34,1,1
6,-8,0.17,6.639,69,0,0
3,-3,0.45,6.206,46,0,1
5,-7,0.1,4.413,25,0,0
8,-5,0.38,8.636,12,0,0
6,-8,0.30166435,5.0814095,68,0,1
5,-5,0.25527477,6.866436,67,1,1
3,-1,0.38,5.123,10,0,0
7,-2,0.25,8.292,22,0,1
8,-6,0.26,7.52,31,0,0
10,-5,0.76,4.599,81,1,1
3,-1,0.25,4.469,21,0,1
4,-3,0.77138233,5.6065826,81,0,1
3,-5,0.49,7.738,44,0,0
5,-6,0.96958065,4.1664314,24,0,1
6,-7,0.9,7.383,14,1,0
10,-2,0.85,5.471,51,1,1
8,-5,0.14,6.547,56,0,0
10,-3,0.94,4.013,76,1,0
6,-2,0.6933737,7.06806,74,0,1
4,-1,0.73626804,4.035989,75,0,1
10,-6,0.7,5.776,78,1,0
6,-3,0.24,4.643,74,0,0
10,-4,0.29,8.077,83,1,0
3,-5,0.48813343,7.428447,59,1,1
4,-5,0.98,4.805,78,1,0
5,-6,0.71,8.86,44,0,0
5,-6,0.94750595,5.2930727,52,0,1
4,-8,0.36829758,4.612648,46,1,1
7,-7,0.40610027,7.0355406,59,1,1
3,-6,0.45,4.853,11,0,1
9,-3,0.73,4.767,39,1,0
5,-7,0.03,7.673,28,0,0
4,-5,0.9589186,8.985067,59,0,1
4,-2,0.76,8.046,16,0,0
4,-5,0.18,6.945,61,0,1
7,-3,0.60763454,7.589278,82,0,1
10,-4,0.8,6.378,41,1,1
8,-5,0.24287891,4.7335215,42,1,1
6,-6,0.36,8.179,67,0,0
5,-3,0.9,4.935,74,1,0
5,-3,0.46,5.594,11,0,1
9,-8,0.72,4.673,65,1,0
10,-4,0.95,4.701,18,1,0
9,-3,0.77,8.989,71,1,0
3,-8,0.55,4.102,68,1,0
4,-1,0.19,6.863,79,0,0
8,-7,0.07611561,7.4173956,43,1,1
5,-5,0.58,7.046,11,0,0
8,-4,0.6455679,5.880497,51,0,1
5,-2,0.55665207,8.130074,60,1,1
7,-4,0.97,4.928,41,1,0
6,-2,0.5058632,6.4836187,63,1,1
3,-4,0.21,4.06,50,0,0
10,-4,0.07,6.458,79,1,0
7,-4,0.94,4.975,65,1,0
9,-8,0.68,4.975,43,1,0
5,-6,0.44406605,8.412216,78,1,1
10,-6,0.46,6.024,55,1,0
7,-8,0.66,4.704,35,0,0
5,-8,0.65940666,8.69726,66,0,1
7,-2,0.638381,5.286566,22,1,1
5,-2,0.25,7.657,46,0,1
4,-7,0.15,6.119,21,0,1
8,-8,0.85,5.928,23,1,0
7,-5,1.0,5.915,49,1,0
4,-4,0.08,8.537,23,0,0
5,-3,0.95,6.812,75,1,0
3,-8,0.98,7.06,40,1,0
5,-3,0.8509579,8.387304,81,0,1
4,-6,0.24,5.793,34,0,0
4,-7,0.84,7.608,52,1,0
6,-6,0.45,8.614,33,0,0
3,-2,0.47,8.763,50,0,1
8,-5,0.63699627,6.6470137,59,0,1
10,-3,0.22,5.271,75,1,0
4,-4,0.05,5.165,33,0,1
4,-4,0.25,7.568,23,0,0
10,-5,0.53,8.886,27,1,0
4,-8,0.49,8.626,47,0,0
10,-6,0.59,8.19,63,1,0
3,-3,0.63547325,8.533739,35,1,1
4,-4,0.73,4.488,41,1,0
8,-6,0.11999035,8.061781,47,0,1
7,-7,0.2658434,4.725971,63,1,1
8,-4,0.01,4.327,10,0,0
8,-7,0.27,5.795,15,0,0
8,-2,0.52738,6.8257885,83,0,1
8,-2,0.09948826,4.387126,25,0,1
10,-6,0.32,7.462,27,1,0
3,-8,0.52202034,5.0400705,43,1,1
4,-2,0.8574543,4.52932,45,0,1
9,-7,0.17,8.729,67,0,0
5,-6,0.07,6.269,20,0,0
7,-3,0.9682741,6.2665787,16,0,1
5,-4,0.69,4.453,82,1,0
7,-5,0.80908203,5.684288,33,0,1
4,-3,0.2,4.939,42,0,0
7,-5,0.47,7.715,70,1,0
3,-4,0.534708,4.6393356,55,1,1
7,-4,0.6344061,4.661294,78,0,1
5,-6,0.05,8.616,14,0,0
4,-8,0.81,5.579,70,1,0
10,-1,0.28,4.388,45,1,0
6,-5,0.7,6.241,43,1,0
4,-3,0.7604027,5.2049484,83,0,1
9,-5,0.96,7.108,10,1,0
7,-2,0.06,7.312,35,0,0
8,-2,0.34679222,7.7511034,33,1,1
9,-3,0.75,5.456,53,1,0
10,-7,0.19,5.154,40,1,0
6,-5,0.65,4.493,68,1,0
4,-1,0.97,4.387,21,1,0
6,-7,0.02,8.305,35,0,1
7,-1,0.07,7.254,27,0,1
9,-5,0.46,8.675,82,0,0
7,-5,0.18,8.184,26,0,1
8,-8,0.76,8.803,22,0,0
4,-6,0.05,7.501,36,0,1
7,-4,0.11,4.909,15,0,1
10,-6,0.55,8.966,22,1,0
5,-8,0.15,5.481,51,0,1
4,-5,0.61,7.736,86,1,0
4,-7,0.79,4.252,79,1,0
8,-7,0.07441616,7.492716,70,1,1
5,-5,0.66,5.862,71,0,0
7,-7,0.74316216,8.524143,62,0,1
7,-7,0.84,4.947,53,1,0
5,-8,0.28,8.868,17,0,0
9,-5,0.75,5.799,19,0,0
4,-8,0.37817,7.182727,43,1,1
6,-2,0.70955086,4.764104,87,0,1
6,-6,0.94,8.875,28,1,0
7,-8,0.48884487,6.0795183,30,1,1
5,-3,0.24,7.797,38,0,0
6,-7,0.5518875,5.377672,17,0,1
4,-8,0.22,8.627,51,0,1
3,-5,0.52,8.098,73,0,0
8,-5,0.2,6.902,28,0,0
3,-1,0.36,4.013,73,0,0
8,-3,0.78535366,4.566573,50,0,1
3,-6,0.47,7.839,85,0,0
9,-2,0.24,8.735,55,0,0
7,-3,0.20837402,8.8485565,87,1,1
7,-6,0.08,7.425,55,0,0
9,-5,0.03,7.977,43,0,0
4,-7,0.8718014,7.633502,71,0,1
7,-5,0.66,4.559,58,1,0
4,-4,0.365057,5.344469,43,1,1
5,-8,0.39,4.806,47,0,0
10,-4,0.08,6.65,48,1,0
7,-6,0.77587223,7.41247,54,0,1
9,-3,0.48,6.385,73,0,0
4,-8,0.5,4.561,84,1,0
10,-2,0.96,5.334,38,1,1
4,-4,0.82,7.204,12,1,0
3,-1,0.06,5.175,51,0,0
4,-1,0.94228554,4.15026,33,0,1
5,-5,0.13,4.325,14,0,0
7,-8,0.45509434,4.5460806,79,0,1
9,-5,0.96,6.28,46,1,0
3,-2,0.05,7.259,57,0,1
5,-6,0.38,4.315,57,0,0
5,-5,0.75,4.406,15,0,0
10,-5,0.88,8.45,56,1,1
9,-6,0.12,7.316,10,0,0
10,-4,0.67,7.957,19,1,0
9,-7,0.71,6.722,33,1,0
6,-6,0.40919685,4.0589504,48,1,1
6,-3,0.19,4.443,73,0,1
4,-8,0.8808613,8.241346,60,0,1
7,-7,0.32753086,8.340702,76,1,1
6,-7,0.47,5.457,21,0,0
8,-3,0.11883068,6.429988,38,1,1
8,-5,0.124586105,4.66267,26,1,1
10,-6,0.8,6.487,80,1,0
9,-6,0.63,5.295,18,1,0
3,-3,0.38,8.892,39,0,1
6,-7,0.73,6.18,43,1,0
9,-7,0.73,5.701,86,1,0
3,-2,0.26,6.498,41,0,1
3,-5,0.14,6.079,43,0,1
6,-8,0.24401474,5.286216,86,1,1
5,-3,0.48416138,5.350363,75,1,1
7,-2,0.6353464,8.560173,32,1,1
8,-3,0.16,4.585,18,0,0
3,-2,0.44,4.626,39,0,1
5,-7,0.7220907,6.1121883,50,0,1
7,-8,0.31351662,7.1417665,66,1,1
4,-6,0.68325615,4.623049,62,0,1
3,-2,0.64432526,8.86236,83,1,1
9,-5,0.58,5.279,61,1,0
6,-2,0.09,6.291,23,0,0
5,-1,0.44480324,8.448397,87,1,1
3,-8,0.33,7.423,15,0,0
9,-3,0.8,6.452,15,1,0
4,-6,0.35,5.237,65,0,0
6,-6,0.4,6.535,40,0,0
4,-8,0.8967428,5.6032724,29,0,1
8,-6,0.55,5.057,27,0,0
7,-5,0.34282875,7.2738895,65,1,1
4,-5,0.37,5.756,50,0,0
5,-8,0.73,8.234,48,1,0
9,-7,0.58,5.423,12,1,0
4,-5,0.06,5.439,24,0,0
3,-6,0.18,4.117,40,0,1
7,-7,0.6952152,6.4882526,63,0,1
7,-3,0.57,8.919,43,0,0
7,-8,0.9109173,7.59713,23,0,1
7,-7,0.50678253,7.3690786,20,0,1
6,-5,0.03,6.363,31,0,0
4,-4,0.01,8.742,26,0,0
6,-8,0.03,8.949,13,0,1
5,-7,0.4022932,4.2527313,74,1,1
4,-6,0.46406174,8.744938,81,1,1
9,-4,0.08,4.872,72,0,0
7,-2,0.96696377,5.5938663,28,0,1
6,-7,0.31118298,6.4053955,71,0,1
5,-3,0.16,7.407,75,0,1
7,-3,0.8574972,4.521182,36,0,1
6,-5,0.496809,8.610674,38,1,1
3,-7,0.85108566,8.597157,71,0,1
3,-8,0.4266138,8.82991,88,1,1
6,-5,0.11,5.06,88,0,0
7,-5,0.31312275,8.697798,81,1,1
4,-1,0.94,7.288,73,1,0
7,-5,0.99,7.556,22,1,0
